codigo_pais,pais,anio,vab_manuf_pib,vab_manuf_const,empleo_ind_pct,exp_manuf_pct,poblacion,var_vab,var_empleo,var_exp
AR,Argentina,2000,16.4942719439838,57748736303.0067,20.9340237882204,32.3894881497921,37213984,NA,NA,NA
BR,Brasil,2000,13.1346595913847,161965864487.5,23.4987657285958,57.5531410445161,174018282,NA,NA,NA
CN,China,2000,NA,NA,24.6470198851309,88.2293171765186,1262645000,NA,NA,NA
DE,Alemania,2000,20.2840359494004,539293656161.337,33.5310714327787,83.6107093890248,82211508,NA,NA,NA
GB,Reino Unido,2000,13.2927633990762,209729575245.838,25.2644874782121,75.2092987705848,58892514,NA,NA,NA
US,Estados Unidos,2000,15.1150690882174,NA,22.6696814582688,82.3673615352238,282162411,NA,NA,NA
AR,Argentina,2001,16.0932258763829,53497281607.2143,20.2977811255828,32.5022403716095,37624825,-2.431426309466067,-3.0392755309450514,0.3481136265443663
BR,Brasil,2001,13.0895379357967,163121309959.093,23.2229430205378,53.5716112142027,176301203,-0.343531214296533,-1.1737753005569451,-6.918006138420452
CN,China,2001,NA,NA,22.2999534859973,88.6287487047227,1271850000,NA,-9.522718811735697,0.45271973192873016
DE,Alemania,2001,20.0863572804744,547226445368.754,32.7815599937358,86.583073154157,82349925,-0.9745529411361864,-2.235274350077021,3.5550036434954135
GB,Reino Unido,2001,12.5032376045377,217637113375.118,24.7452769095223,75.4213741840736,59119673,-5.9395158917322615,-2.055100342477023,0.2819803095568174
US,Estados Unidos,2001,13.9193104206237,NA,22.4697538277737,81.6713505049246,284968955,-7.911036731719767,-0.8819163642115324,-0.8450082864455255
AR,Argentina,2002,20.347773913878,47636536297.7045,18.6580046727594,30.4601239582791,38029349,26.43688760833667,-8.07859954089597,-6.283002002268667
BR,Brasil,2002,12.3569626659174,166535447030.725,23.6962749162024,52.0301064054833,178503484,-5.596647287876255,2.038208056773838,-2.877465832707149
CN,China,2002,NA,NA,21.4001070576635,89.8595609635985,1280400000,NA,-4.035194194009573,1.3887280107907296
DE,Alemania,2002,19.4763331174439,531496473904.539,32.3668135625331,87.1131217177509,82488495,-3.0370074300305916,-1.2651821062876434,0.6121849736728135
GB,Reino Unido,2002,12.0650803669037,225664994396.346,24.0201800032484,77.9202742851375,59370479,-3.5043502450515907,-2.930243653870268,3.313251883962054
US,Estados Unidos,2002,13.4528837394598,NA,22.3459708523018,81.5341182079117,287625193,-3.35093238866786,-0.5508871010366789,-0.1680299103228644
AR,Argentina,2003,22.4867505875749,55242751606.904,20.2486924367082,26.6612827648928,38424282,10.512091803015512,8.525497725226728,-12.471522435658944
BR,Brasil,2003,14.4507645634139,170964239831.316,23.1161995816567,51.0705626367766,180622688,16.94430867928054,-2.447960013111883,-1.844208737973252
CN,China,2003,NA,NA,21.6000317879629,90.5944711080778,1288400000,NA,0.934223038046933,0.8178430170352247
DE,Alemania,2003,19.5529741477412,537463020655.828,31.3777391883868,83.998296626933,82534176,0.3935085204958666,-3.0558286877248486,-3.575609540098934
GB,Reino Unido,2003,11.5481005178606,234697542594.085,23.4559394359555,77.3213984627367,59647577,-4.284926691920365,-2.3490272230124565,-0.7685750953715931
US,Estados Unidos,2003,13.3165025029569,NA,22.2872763085885,80.2980440972116,290107933,-1.0137695318280904,-0.2626627596592157,-1.5160207013561133
AR,Argentina,2004,18.9370136214371,61858654534.9825,20.5642297662723,28.4790342216867,38815916,-15.785904469893552,1.558309656538981,6.8179444808540435
BR,Brasil,2004,15.0995301566951,186492615116.312,23.2195353331464,52.6079034526395,182675143,4.489489745917874,0.44702742388371686,3.0102288607955163
CN,China,2004,31.5101594673259,NA,22.4994633352348,91.4149282186294,1296075000,NA,4.164028813018361,0.9056370664969338
DE,Alemania,2004,19.7896242542651,558549302291.015,31.2532116993414,83.5604993278713,82516260,1.2103023546995217,-0.3968657152057964,-0.5211978297680497
GB,Reino Unido,2004,10.9147243364129,239378783826.009,22.4198824718188,75.983085666887,59987905,-5.484678458315317,-4.417034614902415,-1.7308440127278057
US,Estados Unidos,2004,13.1741780601703,NA,22.2493042173759,74.4088619671752,292805298,-1.068782458119144,-0.17037564701418706,-7.334153896584028
AR,Argentina,2005,18.340415936715,66450520964.1895,21.1426475358338,30.6370052584991,39216789,-3.150431724074687,2.8127373411775958,7.577402449866488
BR,Brasil,2005,14.7382811396728,190675099775.662,23.5943608547398,52.2046909338931,184688101,-2.392452038397508,1.6142679696881324,-0.7664485605464066
CN,China,2005,31.6564574964127,NA,23.8000197014041,91.9176727400031,1303720000,0.4642884439810757,5.780388388787006,0.5499588865522265
DE,Alemania,2005,19.7693607543503,567634713460.972,29.8396164797777,86.0107750112592,82469422,-0.10239456623555299,-4.523039849992405,2.9323372922576807
GB,Reino Unido,2005,10.5616323261232,244184423940.376,22.1649739599228,75.2151236338622,60401206,-3.235006211854019,-1.1369752371200526,-1.0107012979067242
US,Estados Unidos,2005,12.9833217030159,NA,22.131757184111,73.1628361992086,295516599,-1.4487154817758197,-0.528317794194666,-1.6745663554379786
AR,Argentina,2006,17.8777938558849,72497376415.5628,21.5732443105464,31.7706580715672,39622115,-2.5224186977351737,2.0366265576853726,3.7002729330198214
BR,Brasil,2006,14.1089458704485,193027267318.236,23.548846005631,49.7402105731925,186653106,-4.2700723595931684,-0.19290562431004687,-4.720802511447442
CN,China,2006,31.9945213596647,NA,25.1993927171682,92.4180993276338,1311020000,1.0679143845779615,5.879713686461963,0.5444291317581618
DE,Alemania,2006,20.3388454277918,616790849099.619,29.8531977539054,84.8857393622504,82376451,2.880642831691893,0.045514238217170266,-1.3080171046726652
